WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (1268495.6365 5008183.7713)",348800,Lake Hayes Estate,1.93638722,1.93638722,1268495.6365,5008183.77125,-45.00228082,168.79374439,1268495.6365,5008183.7713
"POINT (1264443.2513 5000224.6186)",348900,Jacks Point,14.48030644,14.48030644,1264443.2513,5000224.61855,-45.07182625,168.73715616,1264443.2513,5000224.6186
"POINT (1375737.4872 4942714.7931)",349000,Strath Taieri,2114.95611665,2114.95611665,1375737.48715,4942714.79305,-45.63286905,170.1227055,1375737.4872,4942714.7931
"POINT (1407650.0758 4944661.5434)",349100,Bucklands Crossing,421.9573769,421.9573769,1407650.07575,4944661.5434,-45.62493912,170.53249892,1407650.0758,4944661.5434
"POINT (1418084.2856 4947399.9874)",349200,Waikouaiti,7.32714881,7.32714881,1418084.2856,4947399.98735,-45.60312292,170.66725767,1418084.2856,4947399.9874
"POINT (1383151.5481 4909292.8317)",349300,Momona,217.72425156,217.72425156,1383151.54805,4909292.8317,-45.93568773,170.20271369,1383151.5481,4909292.8317
"POINT (1395437.3262 4921785.5962)",349400,Taieri,150.19446241,150.19446241,1395437.3262,4921785.5962,-45.82713359,170.36633821,1395437.3262,4921785.5962
"POINT (1411950.9747 4933103.8526)",349500,Inlets other Dunedin City,0,16.54697161,1411950.9747,4933103.8526,-45.7300537,170.58314871,1411950.9747,4933103.8526
"POINT (1411086.6891 4927106.6884)",349600,Mount Cargill,129.7606838,129.7606838,1411086.6891,4927106.6884,-45.78374853,170.56970937,1411086.6891,4927106.6884
"POINT (1393431.1509 4916605.7503)",349700,Bush Road,0.87644248,0.87644248,1393431.1509,4916605.7503,-45.87310687,170.33831545,1393431.1509,4916605.7503
"POINT (1395427.5777 4917411.0168)",349800,Mosgiel East,3.34393765,3.34393765,1395427.57765,4917411.0168,-45.86646279,170.36435466,1395427.5777,4917411.0168
"POINT (1394192.8487 4916012.3843)",349900,Mosgiel Central,1.23774409,1.23774409,1394192.8487,4916012.3843,-45.87866986,170.34786549,1394192.8487,4916012.3843
"POINT (1394850.6829 4916257.7327)",350000,Seddon Park,1.55942967,1.55942967,1394850.68285,4916257.73265,-45.87666031,170.35643822,1394850.6829,4916257.7327
"POINT (1397131.1349 4917406.4853)",350100,Wingatui,6.82243928,6.82243928,1397131.1349,4917406.48525,-45.86700748,170.38627764,1397131.1349,4917406.4853
